2021-08-19 10:29:30 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2021-08-19 10:29:30 install libselinux1:amd64 <none> 3.0-1build2
2021-08-19 10:29:30 status half-installed libselinux1:amd64 3.0-1build2
2021-08-19 10:29:30 status unpacked libselinux1:amd64 3.0-1build2
2021-08-19 10:29:30 install libsemanage-common:all <none> 3.0-1build2
2021-08-19 10:29:30 status half-installed libsemanage-common:all 3.0-1build2
2021-08-19 10:29:30 status unpacked libsemanage-common:all 3.0-1build2
2021-08-19 10:29:30 install libsemanage1:amd64 <none> 3.0-1build2
2021-08-19 10:29:30 status half-installed libsemanage1:amd64 3.0-1build2
2021-08-19 10:29:30 status unpacked libsemanage1:amd64 3.0-1build2
2021-08-19 10:29:30 install libsepol1:amd64 <none> 3.0-1
2021-08-19 10:29:30 status half-installed libsepol1:amd64 3.0-1
2021-08-19 10:29:30 status unpacked libsepol1:amd64 3.0-1
2021-08-19 10:29:30 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2021-08-19 10:29:30 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:30 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:30 install libss2:amd64 <none> 1.45.5-2ubuntu1
2021-08-19 10:29:30 status half-installed libss2:amd64 1.45.5-2ubuntu1
2021-08-19 10:29:30 status unpacked libss2:amd64 1.45.5-2ubuntu1
2021-08-19 10:29:30 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2021-08-19 10:29:30 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2021-08-19 10:29:30 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2021-08-19 10:29:30 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2021-08-19 10:29:30 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2021-08-19 10:29:30 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2021-08-19 10:29:31 install libudev1:amd64 <none> 245.4-4ubuntu3
2021-08-19 10:29:31 status half-installed libudev1:amd64 245.4-4ubuntu3
2021-08-19 10:29:31 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-08-19 10:29:31 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2021-08-19 10:29:31 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:31 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:31 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2021-08-19 10:29:31 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2021-08-19 10:29:31 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2021-08-19 10:29:31 install login:amd64 <none> 1:4.8.1-1ubuntu5
2021-08-19 10:29:31 status half-installed login:amd64 1:4.8.1-1ubuntu5
2021-08-19 10:29:31 status unpacked login:amd64 1:4.8.1-1ubuntu5
2021-08-19 10:29:31 install logsave:amd64 <none> 1.45.5-2ubuntu1
2021-08-19 10:29:31 status half-installed logsave:amd64 1.45.5-2ubuntu1
2021-08-19 10:29:31 status unpacked logsave:amd64 1.45.5-2ubuntu1
2021-08-19 10:29:31 install lsb-base:all <none> 11.1.0ubuntu2
2021-08-19 10:29:31 status half-installed lsb-base:all 11.1.0ubuntu2
2021-08-19 10:29:31 status unpacked lsb-base:all 11.1.0ubuntu2
2021-08-19 10:29:31 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-08-19 10:29:31 status half-configured mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:31 status unpacked mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:31 status half-installed mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:31 status unpacked mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:31 install mount:amd64 <none> 2.34-0.1ubuntu9
2021-08-19 10:29:31 status half-installed mount:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:31 status unpacked mount:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:31 install ncurses-base:all <none> 6.2-0ubuntu2
2021-08-19 10:29:31 status half-installed ncurses-base:all 6.2-0ubuntu2
2021-08-19 10:29:31 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-08-19 10:29:31 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2021-08-19 10:29:31 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2021-08-19 10:29:31 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2021-08-19 10:29:31 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2021-08-19 10:29:31 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2021-08-19 10:29:31 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2021-08-19 10:29:31 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2021-08-19 10:29:31 status half-configured perl-base:amd64 5.30.0-9build1
2021-08-19 10:29:31 status unpacked perl-base:amd64 5.30.0-9build1
2021-08-19 10:29:31 status half-installed perl-base:amd64 5.30.0-9build1
2021-08-19 10:29:32 status unpacked perl-base:amd64 5.30.0-9build1
2021-08-19 10:29:32 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2021-08-19 10:29:32 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2021-08-19 10:29:32 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2021-08-19 10:29:32 install sed:amd64 <none> 4.7-1
2021-08-19 10:29:32 status half-installed sed:amd64 4.7-1
2021-08-19 10:29:32 status unpacked sed:amd64 4.7-1
2021-08-19 10:29:32 install sensible-utils:all <none> 0.0.12+nmu1
2021-08-19 10:29:32 status half-installed sensible-utils:all 0.0.12+nmu1
2021-08-19 10:29:32 status unpacked sensible-utils:all 0.0.12+nmu1
2021-08-19 10:29:32 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2021-08-19 10:29:32 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-08-19 10:29:32 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-08-19 10:29:32 install tar:amd64 <none> 1.30+dfsg-7
2021-08-19 10:29:32 status half-installed tar:amd64 1.30+dfsg-7
2021-08-19 10:29:32 status unpacked tar:amd64 1.30+dfsg-7
2021-08-19 10:29:32 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2021-08-19 10:29:32 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:32 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2021-08-19 10:29:32 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2021-08-19 10:29:32 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-08-19 10:29:32 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-08-19 10:29:32 startup packages configure
2021-08-19 10:29:32 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-08-19 10:29:32 status unpacked lsb-base:all 11.1.0ubuntu2
2021-08-19 10:29:32 status half-configured lsb-base:all 11.1.0ubuntu2
2021-08-19 10:29:32 status installed lsb-base:all 11.1.0ubuntu2
2021-08-19 10:29:32 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2021-08-19 10:29:32 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-19 10:29:32 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-19 10:29:32 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-19 10:29:32 configure libsemanage-common:all 3.0-1build2 <none>
2021-08-19 10:29:32 status unpacked libsemanage-common:all 3.0-1build2
2021-08-19 10:29:32 status half-configured libsemanage-common:all 3.0-1build2
2021-08-19 10:29:32 status installed libsemanage-common:all 3.0-1build2
2021-08-19 10:29:32 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2021-08-19 10:29:32 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-19 10:29:32 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-19 10:29:32 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-19 10:29:32 configure ncurses-base:all 6.2-0ubuntu2 <none>
2021-08-19 10:29:32 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-08-19 10:29:32 status half-configured ncurses-base:all 6.2-0ubuntu2
2021-08-19 10:29:32 status installed ncurses-base:all 6.2-0ubuntu2
2021-08-19 10:29:32 configure sensible-utils:all 0.0.12+nmu1 <none>
2021-08-19 10:29:32 status unpacked sensible-utils:all 0.0.12+nmu1
2021-08-19 10:29:32 status half-configured sensible-utils:all 0.0.12+nmu1
2021-08-19 10:29:32 status installed sensible-utils:all 0.0.12+nmu1
2021-08-19 10:29:32 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2021-08-19 10:29:32 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-19 10:29:32 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-19 10:29:32 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-19 10:29:32 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2021-08-19 10:29:32 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-19 10:29:32 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-19 10:29:32 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-19 10:29:32 configure libc6:amd64 2.31-0ubuntu9 <none>
2021-08-19 10:29:32 status unpacked libc6:amd64 2.31-0ubuntu9
2021-08-19 10:29:32 status half-configured libc6:amd64 2.31-0ubuntu9
2021-08-19 10:29:33 status installed libc6:amd64 2.31-0ubuntu9
2021-08-19 10:29:33 configure libudev1:amd64 245.4-4ubuntu3 <none>
2021-08-19 10:29:33 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-08-19 10:29:33 status half-configured libudev1:amd64 245.4-4ubuntu3
2021-08-19 10:29:33 status installed libudev1:amd64 245.4-4ubuntu3
2021-08-19 10:29:33 configure libsepol1:amd64 3.0-1 <none>
2021-08-19 10:29:33 status unpacked libsepol1:amd64 3.0-1
2021-08-19 10:29:33 status half-configured libsepol1:amd64 3.0-1
2021-08-19 10:29:33 status installed libsepol1:amd64 3.0-1
2021-08-19 10:29:33 configure libattr1:amd64 1:2.4.48-5 <none>
2021-08-19 10:29:33 status unpacked libattr1:amd64 1:2.4.48-5
2021-08-19 10:29:33 status half-configured libattr1:amd64 1:2.4.48-5
2021-08-19 10:29:33 status installed libattr1:amd64 1:2.4.48-5
2021-08-19 10:29:33 configure debianutils:amd64 4.9.1 <none>
2021-08-19 10:29:33 status unpacked debianutils:amd64 4.9.1
2021-08-19 10:29:33 status half-configured debianutils:amd64 4.9.1
2021-08-19 10:29:33 status installed debianutils:amd64 4.9.1
2021-08-19 10:29:33 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-08-19 10:29:33 status unpacked mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:33 status half-configured mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:33 status installed mawk:amd64 1.3.4.20200120-2
2021-08-19 10:29:33 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2021-08-19 10:29:33 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-08-19 10:29:33 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2021-08-19 10:29:33 status installed libdebconfclient0:amd64 0.251ubuntu1
2021-08-19 10:29:33 configure base-files:amd64 11ubuntu5 <none>
2021-08-19 10:29:33 status unpacked base-files:amd64 11ubuntu5
2021-08-19 10:29:33 status half-configured base-files:amd64 11ubuntu5
2021-08-19 10:29:33 status installed base-files:amd64 11ubuntu5
2021-08-19 10:29:33 configure libbz2-1.0:amd64 1.0.8-2 <none>
2021-08-19 10:29:33 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-08-19 10:29:33 status half-configured libbz2-1.0:amd64 1.0.8-2
2021-08-19 10:29:33 status installed libbz2-1.0:amd64 1.0.8-2
2021-08-19 10:29:33 configure base-passwd:amd64 3.5.47 <none>
2021-08-19 10:29:33 status unpacked base-passwd:amd64 3.5.47
2021-08-19 10:29:33 status half-configured base-passwd:amd64 3.5.47
2021-08-19 10:29:33 status installed base-passwd:amd64 3.5.47
